subtest;age;rw;sw
FA;13;0;74
FA;13;1;78
FA;13;2;82
FA;13;3;86
FA;13;4;89
FA;13;5;93
FA;13;6;95
FA;13;7;98
FA;13;8;101
FA;13;9;105
FA;13;10;108
FA;13;11;112
FA;13;12;115
FA;13;13;119
FA;13;14;122
FA;13;15;125
FA;13;16;129
FA;13;17;132
FA;13;18;135
FA;13;19;139
FA;13;20;142
FA;14;0;75
FA;14;1;78
FA;14;2;81
FA;14;3;84
FA;14;4;87
FA;14;5;91
FA;14;6;94
FA;14;7;97
FA;14;8;100
FA;14;9;104
FA;14;10;107
FA;14;11;110
FA;14;12;113
FA;14;13;116
FA;14;14;120
FA;14;15;123
FA;14;16;126
FA;14;17;129
FA;14;18;132
FA;14;19;135
FA;14;20;139
FA;15;0;77
FA;15;1;80
FA;15;2;83
FA;15;3;85
FA;15;4;87
FA;15;5;90
FA;15;6;93
FA;15;7;96
FA;15;8;99
FA;15;9;102
FA;15;10;104
FA;15;11;107
FA;15;12;110
FA;15;13;113
FA;15;14;115
FA;15;15;118
FA;15;16;121
FA;15;17;124
FA;15;18;127
FA;15;19;130
FA;15;20;133
FA;16;0;76
FA;16;1;79
FA;16;2;82
FA;16;3;85
FA;16;4;87
FA;16;5;90
FA;16;6;92
FA;16;7;95
FA;16;8;98
FA;16;9;100
FA;16;10;103
FA;16;11;106
FA;16;12;109
FA;16;13;111
FA;16;14;114
FA;16;15;117
FA;16;16;120
FA;16;17;122
FA;16;18;125
FA;16;19;127
FA;16;20;130
FA;17;0;76
FA;17;1;79
FA;17;2;81
FA;17;3;84
FA;17;4;87
FA;17;5;89
FA;17;6;93
FA;17;7;95
FA;17;8;97
FA;17;9;100
FA;17;10;103
FA;17;11;105
FA;17;12;108
FA;17;13;111
FA;17;14;113
FA;17;15;116
FA;17;16;119
FA;17;17;121
FA;17;18;125
FA;17;19;127
FA;17;20;130
FA;18;0;74
FA;18;1;76
FA;18;2;79
FA;18;3;82
FA;18;4;85
FA;18;5;88
FA;18;6;90
FA;18;7;93
FA;18;8;96
FA;18;9;99
FA;18;10;101
FA;18;11;104
FA;18;12;107
FA;18;13;110
FA;18;14;113
FA;18;15;115
FA;18;16;118
FA;18;17;121
FA;18;18;124
FA;18;19;127
FA;18;20;130
FA;19;0;74
FA;19;1;77
FA;19;2;79
FA;19;3;82
FA;19;4;85
FA;19;5;87
FA;19;6;90
FA;19;7;92
FA;19;8;95
FA;19;9;98
FA;19;10;100
FA;19;11;103
FA;19;12;106
FA;19;13;109
FA;19;14;111
FA;19;15;114
FA;19;16;117
FA;19;17;120
FA;19;18;122
FA;19;19;125
FA;19;20;128
FA;20;0;74
FA;20;1;77
FA;20;2;79
FA;20;3;82
FA;20;4;85
FA;20;5;87
FA;20;6;90
FA;20;7;92
FA;20;8;95
FA;20;9;98
FA;20;10;100
FA;20;11;103
FA;20;12;106
FA;20;13;109
FA;20;14;111
FA;20;15;114
FA;20;16;117
FA;20;17;120
FA;20;18;122
FA;20;19;125
FA;20;20;128
FA;21,22,23,24;0;75
FA;21,22,23,24;1;78
FA;21,22,23,24;2;80
FA;21,22,23,24;3;83
FA;21,22,23,24;4;85
FA;21,22,23,24;5;88
FA;21,22,23,24;6;91
FA;21,22,23,24;7;93
FA;21,22,23,24;8;96
FA;21,22,23,24;9;98
FA;21,22,23,24;10;101
FA;21,22,23,24;11;103
FA;21,22,23,24;12;106
FA;21,22,23,24;13;108
FA;21,22,23,24;14;111
FA;21,22,23,24;15;113
FA;21,22,23,24;16;116
FA;21,22,23,24;17;119
FA;21,22,23,24;18;121
FA;21,22,23,24;19;124
FA;21,22,23,24;20;127
FA;25,26,27,28;0;74
FA;25,26,27,28;1;77
FA;25,26,27,28;2;80
FA;25,26,27,28;3;82
FA;25,26,27,28;4;85
FA;25,26,27,28;5;88
FA;25,26,27,28;6;90
FA;25,26,27,28;7;93
FA;25,26,27,28;8;96
FA;25,26,27,28;9;99
FA;25,26,27,28;10;101
FA;25,26,27,28;11;104
FA;25,26,27,28;12;107
FA;25,26,27,28;13;109
FA;25,26,27,28;14;112
FA;25,26,27,28;15;115
FA;25,26,27,28;16;118
FA;25,26,27,28;17;120
FA;25,26,27,28;18;123
FA;25,26,27,28;19;126
FA;25,26,27,28;20;130
FA;29,30,31,32,33;0;75
FA;29,30,31,32,33;1;77
FA;29,30,31,32,33;2;80
FA;29,30,31,32,33;3;83
FA;29,30,31,32,33;4;85
FA;29,30,31,32,33;5;88
FA;29,30,31,32,33;6;91
FA;29,30,31,32,33;7;93
FA;29,30,31,32,33;8;95
FA;29,30,31,32,33;9;99
FA;29,30,31,32,33;10;101
FA;29,30,31,32,33;11;103
FA;29,30,31,32,33;12;106
FA;29,30,31,32,33;13;109
FA;29,30,31,32,33;14;111
FA;29,30,31,32,33;15;115
FA;29,30,31,32,33;16;117
FA;29,30,31,32,33;17;120
FA;29,30,31,32,33;18;123
FA;29,30,31,32,33;19;127
FA;29,30,31,32,33;20;128
FA;34,35,36,37,38,39;0;77
FA;34,35,36,37,38,39;1;80
FA;34,35,36,37,38,39;2;82
FA;34,35,36,37,38,39;3;85
FA;34,35,36,37,38,39;4;87
FA;34,35,36,37,38,39;5;90
FA;34,35,36,37,38,39;6;93
FA;34,35,36,37,38,39;7;95
FA;34,35,36,37,38,39;8;98
FA;34,35,36,37,38,39;9;101
FA;34,35,36,37,38,39;10;103
FA;34,35,36,37,38,39;11;105
FA;34,35,36,37,38,39;12;108
FA;34,35,36,37,38,39;13;110
FA;34,35,36,37,38,39;14;113
FA;34,35,36,37,38,39;15;115
FA;34,35,36,37,38,39;16;118
FA;34,35,36,37,38,39;17;120
FA;34,35,36,37,38,39;18;123
FA;34,35,36,37,38,39;19;126
FA;34,35,36,37,38,39;20;128
FA;40,41,42,43,44,45;0;79
FA;40,41,42,43,44,45;1;81
FA;40,41,42,43,44,45;2;84
FA;40,41,42,43,44,45;3;86
FA;40,41,42,43,44,45;4;89
FA;40,41,42,43,44,45;5;91
FA;40,41,42,43,44,45;6;93
FA;40,41,42,43,44,45;7;97
FA;40,41,42,43,44,45;8;99
FA;40,41,42,43,44,45;9;102
FA;40,41,42,43,44,45;10;104
FA;40,41,42,43,44,45;11;107
FA;40,41,42,43,44,45;12;109
FA;40,41,42,43,44,45;13;112
FA;40,41,42,43,44,45;14;115
FA;40,41,42,43,44,45;15;117
FA;40,41,42,43,44,45;16;120
FA;40,41,42,43,44,45;17;122
FA;40,41,42,43,44,45;18;125
FA;40,41,42,43,44,45;19;128
FA;40,41,42,43,44,45;20;130
FA;46;0;80
FA;46;1;82
FA;46;2;85
FA;46;3;88
FA;46;4;91
FA;46;5;93
FA;46;6;96
FA;46;7;98
FA;46;8;101
FA;46;9;104
FA;46;10;106
FA;46;11;109
FA;46;12;112
FA;46;13;115
FA;46;14;117
FA;46;15;119
FA;46;16;122
FA;46;17;125
FA;46;18;128
FA;46;19;131
FA;46;20;133
