subtest;age;rw;sw
RA;13;0;78
RA;13;1;81
RA;13;2;85
RA;13;3;89
RA;13;4;93
RA;13;5;96
RA;13;6;100
RA;13;7;104
RA;13;8;107
RA;13;9;111
RA;13;10;115
RA;13;11;119
RA;13;12;122
RA;13;13;126
RA;13;14;129
RA;13;15;133
RA;13;16;137
RA;13;17;140
RA;13;18;144
RA;13;19;148
RA;13;20;152
RA;14;0;75
RA;14;1;78
RA;14;2;82
RA;14;3;86
RA;14;4;90
RA;14;5;93
RA;14;6;97
RA;14;7;101
RA;14;8;105
RA;14;9;109
RA;14;10;112
RA;14;11;116
RA;14;12;119
RA;14;13;123
RA;14;14;126
RA;14;15;130
RA;14;16;134
RA;14;17;137
RA;14;18;140
RA;14;19;144
RA;14;20;147
RA;15;0;81
RA;15;1;84
RA;15;2;87
RA;15;3;90
RA;15;4;92
RA;15;5;95
RA;15;6;98
RA;15;7;101
RA;15;8;103
RA;15;9;106
RA;15;10;109
RA;15;11;112
RA;15;12;114
RA;15;13;117
RA;15;14;120
RA;15;15;123
RA;15;16;126
RA;15;17;129
RA;15;18;132
RA;15;19;135
RA;15;20;138
RA;16;0;80
RA;16;1;83
RA;16;2;85
RA;16;3;88
RA;16;4;90
RA;16;5;92
RA;16;6;95
RA;16;7;98
RA;16;8;100
RA;16;9;103
RA;16;10;105
RA;16;11;108
RA;16;12;110
RA;16;13;112
RA;16;14;115
RA;16;15;118
RA;16;16;120
RA;16;17;123
RA;16;18;126
RA;16;19;129
RA;16;20;131
RA;17;0;76
RA;17;1;79
RA;17;2;82
RA;17;3;85
RA;17;4;88
RA;17;5;91
RA;17;6;93
RA;17;7;96
RA;17;8;99
RA;17;9;102
RA;17;10;105
RA;17;11;108
RA;17;12;111
RA;17;13;113
RA;17;14;116
RA;17;15;119
RA;17;16;122
RA;17;17;125
RA;17;18;127
RA;17;19;130
RA;17;20;134
RA;18;0;75
RA;18;1;78
RA;18;2;81
RA;18;3;84
RA;18;4;86
RA;18;5;89
RA;18;6;92
RA;18;7;95
RA;18;8;98
RA;18;9;101
RA;18;10;104
RA;18;11;107
RA;18;12;109
RA;18;13;112
RA;18;14;115
RA;18;15;118
RA;18;16;121
RA;18;17;124
RA;18;18;126
RA;18;19;129
RA;18;20;132
RA;19;0;74
RA;19;1;77
RA;19;2;80
RA;19;3;83
RA;19;4;86
RA;19;5;89
RA;19;6;91
RA;19;7;93
RA;19;8;97
RA;19;9;100
RA;19;10;103
RA;19;11;106
RA;19;12;109
RA;19;13;111
RA;19;14;114
RA;19;15;117
RA;19;16;120
RA;19;17;123
RA;19;18;126
RA;19;19;128
RA;19;20;131
RA;20;0;74
RA;20;1;77
RA;20;2;80
RA;20;3;83
RA;20;4;86
RA;20;5;89
RA;20;6;91
RA;20;7;93
RA;20;8;97
RA;20;9;100
RA;20;10;103
RA;20;11;106
RA;20;12;109
RA;20;13;111
RA;20;14;114
RA;20;15;117
RA;20;16;120
RA;20;17;123
RA;20;18;126
RA;20;19;128
RA;20;20;131
RA;21,22,23,24;0;75
RA;21,22,23,24;1;77
RA;21,22,23,24;2;80
RA;21,22,23,24;3;83
RA;21,22,23,24;4;86
RA;21,22,23,24;5;88
RA;21,22,23,24;6;91
RA;21,22,23,24;7;94
RA;21,22,23,24;8;97
RA;21,22,23,24;9;99
RA;21,22,23,24;10;102
RA;21,22,23,24;11;105
RA;21,22,23,24;12;107
RA;21,22,23,24;13;110
RA;21,22,23,24;14;113
RA;21,22,23,24;15;115
RA;21,22,23,24;16;118
RA;21,22,23,24;17;121
RA;21,22,23,24;18;123
RA;21,22,23,24;19;126
RA;21,22,23,24;20;129
RA;25,26,27,28;0;72
RA;25,26,27,28;1;76
RA;25,26,27,28;2;80
RA;25,26,27,28;3;82
RA;25,26,27,28;4;84
RA;25,26,27,28;5;87
RA;25,26,27,28;6;90
RA;25,26,27,28;7;93
RA;25,26,27,28;8;96
RA;25,26,27,28;9;98
RA;25,26,27,28;10;101
RA;25,26,27,28;11;104
RA;25,26,27,28;12;107
RA;25,26,27,28;13;110
RA;25,26,27,28;14;112
RA;25,26,27,28;15;115
RA;25,26,27,28;16;118
RA;25,26,27,28;17;120
RA;25,26,27,28;18;123
RA;25,26,27,28;19;126
RA;25,26,27,28;20;130
RA;29,30,31,32,33;0;75
RA;29,30,31,32,33;1;77
RA;29,30,31,32,33;2;80
RA;29,30,31,32,33;3;83
RA;29,30,31,32,33;4;85
RA;29,30,31,32,33;5;88
RA;29,30,31,32,33;6;91
RA;29,30,31,32,33;7;93
RA;29,30,31,32,33;8;96
RA;29,30,31,32,33;9;99
RA;29,30,31,32,33;10;102
RA;29,30,31,32,33;11;104
RA;29,30,31,32,33;12;107
RA;29,30,31,32,33;13;110
RA;29,30,31,32,33;14;112
RA;29,30,31,32,33;15;115
RA;29,30,31,32,33;16;118
RA;29,30,31,32,33;17;121
RA;29,30,31,32,33;18;124
RA;29,30,31,32,33;19;126
RA;29,30,31,32,33;20;129
RA;34,35,36,37,38,39;0;75
RA;34,35,36,37,38,39;1;77
RA;34,35,36,37,38,39;2;80
RA;34,35,36,37,38,39;3;83
RA;34,35,36,37,38,39;4;86
RA;34,35,36,37,38,39;5;88
RA;34,35,36,37,38,39;6;91
RA;34,35,36,37,38,39;7;94
RA;34,35,36,37,38,39;8;97
RA;34,35,36,37,38,39;9;99
RA;34,35,36,37,38,39;10;102
RA;34,35,36,37,38,39;11;105
RA;34,35,36,37,38,39;12;109
RA;34,35,36,37,38,39;13;111
RA;34,35,36,37,38,39;14;113
RA;34,35,36,37,38,39;15;116
RA;34,35,36,37,38,39;16;119
RA;34,35,36,37,38,39;17;122
RA;34,35,36,37,38,39;18;124
RA;34,35,36,37,38,39;19;127
RA;34,35,36,37,38,39;20;130
RA;40,41,42,43,44,45;0;77
RA;40,41,42,43,44,45;1;79
RA;40,41,42,43,44,45;2;82
RA;40,41,42,43,44,45;3;85
RA;40,41,42,43,44,45;4;88
RA;40,41,42,43,44,45;5;90
RA;40,41,42,43,44,45;6;93
RA;40,41,42,43,44,45;7;96
RA;40,41,42,43,44,45;8;98
RA;40,41,42,43,44,45;9;101
RA;40,41,42,43,44,45;10;104
RA;40,41,42,43,44,45;11;106
RA;40,41,42,43,44,45;12;109
RA;40,41,42,43,44,45;13;112
RA;40,41,42,43,44,45;14;115
RA;40,41,42,43,44,45;15;117
RA;40,41,42,43,44,45;16;120
RA;40,41,42,43,44,45;17;123
RA;40,41,42,43,44,45;18;125
RA;40,41,42,43,44,45;19;128
RA;40,41,42,43,44,45;20;131
RA;46;0;77
RA;46;1;79
RA;46;2;81
RA;46;3;84
RA;46;4;88
RA;46;5;91
RA;46;6;94
RA;46;7;97
RA;46;8;99
RA;46;9;102
RA;46;10;104
RA;46;11;107
RA;46;12;110
RA;46;13;113
RA;46;14;116
RA;46;15;119
RA;46;16;121
RA;46;17;125
RA;46;18;128
RA;46;19;131
RA;46;20;134
