subtest;age;rw;sw
SE;13;0;71
SE;13;1;75
SE;13;2;79
SE;13;3;83
SE;13;4;87
SE;13;5;91
SE;13;6;95
SE;13;7;99
SE;13;8;103
SE;13;9;107
SE;13;10;110
SE;13;11;115
SE;13;12;119
SE;13;13;123
SE;13;14;126
SE;13;15;131
SE;13;16;135
SE;13;17;138
SE;13;18;142
SE;13;19;146
SE;13;20;151
SE;14;0;72
SE;14;1;75
SE;14;2;79
SE;14;3;83
SE;14;4;87
SE;14;5;91
SE;14;6;95
SE;14;7;98
SE;14;8;102
SE;14;9;106
SE;14;10;110
SE;14;11;114
SE;14;12;118
SE;14;13;122
SE;14;14;125
SE;14;15;129
SE;14;16;133
SE;14;17;137
SE;14;18;141
SE;14;19;145
SE;14;20;149
SE;15;0;73
SE;15;1;77
SE;15;2;80
SE;15;3;83
SE;15;4;87
SE;15;5;90
SE;15;6;93
SE;15;7;97
SE;15;8;101
SE;15;9;104
SE;15;10;107
SE;15;11;111
SE;15;12;114
SE;15;13;118
SE;15;14;121
SE;15;15;125
SE;15;16;128
SE;15;17;131
SE;15;18;135
SE;15;19;138
SE;15;20;142
SE;16;0;74
SE;16;1;77
SE;16;2;80
SE;16;3;83
SE;16;4;86
SE;16;5;89
SE;16;6;92
SE;16;7;95
SE;16;8;98
SE;16;9;101
SE;16;10;104
SE;16;11;107
SE;16;12;110
SE;16;13;113
SE;16;14;115
SE;16;15;119
SE;16;16;122
SE;16;17;125
SE;16;18;128
SE;16;19;131
SE;16;20;134
SE;17;0;72
SE;17;1;75
SE;17;2;78
SE;17;3;81
SE;17;4;84
SE;17;5;87
SE;17;6;90
SE;17;7;93
SE;17;8;96
SE;17;9;99
SE;17;10;102
SE;17;11;105
SE;17;12;108
SE;17;13;111
SE;17;14;114
SE;17;15;116
SE;17;16;119
SE;17;17;122
SE;17;18;125
SE;17;19;128
SE;17;20;131
SE;18;0;72
SE;18;1;75
SE;18;2;78
SE;18;3;81
SE;18;4;83
SE;18;5;86
SE;18;6;89
SE;18;7;92
SE;18;8;94
SE;18;9;97
SE;18;10;100
SE;18;11;103
SE;18;12;106
SE;18;13;108
SE;18;14;111
SE;18;15;114
SE;18;16;117
SE;18;17;119
SE;18;18;122
SE;18;19;125
SE;18;20;128
SE;19;0;68
SE;19;1;70
SE;19;2;73
SE;19;3;76
SE;19;4;79
