subtest;age;rw;sw
WA;13;0;70
WA;13;1;74
WA;13;2;78
WA;13;3;82
WA;13;4;86
WA;13;5;90
WA;13;6;94
WA;13;7;98
WA;13;8;102
WA;13;9;106
WA;13;10;110
WA;13;11;114
WA;13;12;117
WA;13;13;122
WA;13;14;125
WA;13;15;129
WA;13;16;133
WA;13;17;137
WA;13;18;141
WA;13;19;145
WA;13;20;150
WA;14;0;70
WA;14;1;74
WA;14;2;78
WA;14;3;82
WA;14;4;86
WA;14;5;89
WA;14;6;93
WA;14;7;97
WA;14;8;100
WA;14;9;104
WA;14;10;108
WA;14;11;112
WA;14;12;115
WA;14;13;119
WA;14;14;123
WA;14;15;127
WA;14;16;130
WA;14;17;134
WA;14;18;138
WA;14;19;142
WA;14;20;146
WA;15;0;70
WA;15;1;74
WA;15;2;77
WA;15;3;81
WA;15;4;84
WA;15;5;88
WA;15;6;91
WA;15;7;95
WA;15;8;99
WA;15;9;102
WA;15;10;106
WA;15;11;109
WA;15;12;113
WA;15;13;116
WA;15;14;120
WA;15;15;124
WA;15;16;127
WA;15;17;131
WA;15;18;134
WA;15;19;138
WA;15;20;141
WA;16;0;68
WA;16;1;72
WA;16;2;75
WA;16;3;79
WA;16;4;82
WA;16;5;86
WA;16;6;89
WA;16;7;93
WA;16;8;97
WA;16;9;100
WA;16;10;104
WA;16;11;107
WA;16;12;110
WA;16;13;114
WA;16;14;118
WA;16;15;121
WA;16;16;125
WA;16;17;128
WA;16;18;132
WA;16;19;136
WA;16;20;139
WA;17;0;65
WA;17;1;69
WA;17;2;72
WA;17;3;76
WA;17;4;80
WA;17;5;84
WA;17;6;87
WA;17;7;91
WA;17;8;95
WA;17;9;98
WA;17;10;102
WA;17;11;106
WA;17;12;109
WA;17;13;113
WA;17;14;116
WA;17;15;120
WA;17;16;124
WA;17;17;128
WA;17;18;131
WA;17;19;135
WA;17;20;139
WA;18;0;64
WA;18;1;66
WA;18;2;69
WA;18;3;73
WA;18;4;77
WA;18;5;81
WA;18;6;85
WA;18;7;89
WA;18;8;92
WA;18;9;96
WA;18;10;100
WA;18;11;104
WA;18;12;108
WA;18;13;112
WA;18;14;115
WA;18;15;119
WA;18;16;123
WA;18;17;127
WA;18;18;131
WA;18;19;135
WA;18;20;138
WA;19;0;61
WA;19;1;64
WA;19;2;66
WA;19;3;70
WA;19;4;74
WA;19;5;78
WA;19;6;81
WA;19;7;85
WA;19;8;89
WA;19;9;93
WA;19;10;97
WA;19;11;101
WA;19;12;105
WA;19;13;109
WA;19;14;112
WA;19;15;116
WA;19;16;120
WA;19;17;124
WA;19;18;127
WA;19;19;132
WA;19;20;135
WA;20;0;61
WA;20;1;64
WA;20;2;66
WA;20;3;70
WA;20;4;74
WA;20;5;78
WA;20;6;81
WA;20;7;85
WA;20;8;89
WA;20;9;93
WA;20;10;97
WA;20;11;101
WA;20;12;105
WA;20;13;109
WA;20;14;112
WA;20;15;116
WA;20;16;120
WA;20;17;124
WA;20;18;127
WA;20;19;132
WA;20;20;135
WA;21,22,23,24;0;63
WA;21,22,23,24;1;66
WA;21,22,23,24;2;69
