subtest;age;rw;sw
WU;13;0;73
WU;13;1;77
WU;13;2;80
WU;13;3;84
WU;13;4;88
WU;13;5;91
WU;13;6;95
WU;13;7;98
WU;13;8;102
WU;13;9;105
WU;13;10;109
WU;13;11;112
WU;13;12;116
WU;13;13;120
WU;13;14;123
WU;13;15;126
WU;13;16;130
WU;13;17;133
WU;13;18;137
WU;13;19;141
WU;13;20;145
WU;14;0;73
WU;14;1;77
WU;14;2;80
WU;14;3;84
WU;14;4;87
WU;14;5;90
WU;14;6;94
WU;14;7;97
WU;14;8;100
WU;14;9;104
WU;14;10;108
WU;14;11;111
WU;14;12;115
WU;14;13;118
WU;14;14;122
WU;14;15;125
WU;14;16;129
WU;14;17;132
WU;14;18;135
WU;14;19;139
WU;14;20;142
WU;15;0;73
WU;15;1;76
WU;15;2;79
WU;15;3;83
WU;15;4;86
WU;15;5;90
WU;15;6;93
WU;15;7;97
WU;15;8;100
WU;15;9;103
WU;15;10;106
WU;15;11;110
WU;15;12;113
WU;15;13;117
WU;15;14;120
WU;15;15;124
WU;15;16;127
WU;15;17;130
WU;15;18;133
WU;15;19;136
WU;15;20;140
WU;16;0;76
WU;16;1;79
WU;16;2;82
WU;16;3;85
WU;16;4;88
WU;16;5;91
WU;16;6;94
WU;16;7;97
WU;16;8;100
WU;16;9;102
WU;16;10;105
WU;16;11;108
WU;16;12;111
WU;16;13;114
WU;16;14;117
WU;16;15;120
WU;16;16;123
WU;16;17;126
WU;16;18;129
WU;16;19;132
WU;16;20;135
WU;17;0;76
WU;17;1;79
WU;17;2;82
WU;17;3;85
WU;17;4;88
WU;17;5;90
WU;17;6;93
WU;17;7;96
WU;17;8;99
WU;17;9;102
WU;17;10;105
WU;17;11;107
WU;17;12;110
WU;17;13;113
WU;17;14;116
WU;17;15;119
WU;17;16;122
WU;17;17;124
WU;17;18;127
WU;17;19;130
WU;17;20;133
WU;18;0;74
WU;18;1;76
WU;18;2;80
WU;18;3;83
WU;18;4;86
WU;18;5;89
WU;18;6;92
WU;18;7;94
WU;18;8;97
WU;18;9;100
WU;18;10;103
WU;18;11;106
WU;18;12;109
WU;18;13;112
WU;18;14;115
WU;18;15;118
WU;18;16;121
WU;18;17;123
WU;18;18;126
WU;18;19;129
WU;18;20;132
WU;19;0;74
WU;19;1;77
WU;19;2;80
WU;19;3;83
WU;19;4;86
WU;19;5;89
WU;19;6;91
WU;19;7;94
WU;19;8;97
WU;19;9;100
WU;19;10;103
WU;19;11;106
WU;19;12;109
WU;19;13;111
WU;19;14;114
WU;19;15;117
WU;19;16;120
WU;19;17;123
WU;19;18;126
WU;19;19;128
WU;19;20;131
WU;20;0;74
WU;20;1;77
WU;20;2;80
WU;20;3;83
WU;20;4;86
WU;20;5;89
WU;20;6;91
WU;20;7;94
WU;20;8;97
WU;20;9;100
WU;20;10;103
WU;20;11;106
WU;20;12;109
WU;20;13;111
WU;20;14;114
WU;20;15;117
WU;20;16;120
WU;20;17;123
WU;20;18;126
WU;20;19;128
WU;20;20;131
WU;21,22,23,24;0;75
WU;21,22,23,24;1;78
WU;21,22,23,24;2;80
WU;21,22,23,24;3;83
WU;21,22,23,24;4;86
WU;21,22,23,24;5;89
WU;21,22,23,24;6;92
WU;21,22,23,24;7;95
WU;21,22,23,24;8;97
WU;21,22,23,24;9;100
WU;21,22,23,24;10;103
WU;21,22,23,24;11;106
WU;21,22,23,24;12;108
WU;21,22,23,24;13;111
WU;21,22,23,24;14;114
WU;21,22,23,24;15;117
WU;21,22,23,24;16;120
WU;21,22,23,24;17;122
WU;21,22,23,24;18;125
WU;21,22,23,24;19;128
WU;21,22,23,24;20;131
WU;25,26,27,28;0;74
WU;25,26,27,28;1;77
