subtest;age;rw;sw
ZR;13;0;82
ZR;13;1;85
ZR;13;2;88
ZR;13;3;92
ZR;13;4;95
ZR;13;5;98
ZR;13;6;101
ZR;13;7;104
ZR;13;8;108
ZR;13;9;111
ZR;13;10;114
ZR;13;11;117
ZR;13;12;120
ZR;13;13;124
ZR;13;14;127
ZR;13;15;130
ZR;13;16;134
ZR;13;17;137
ZR;13;18;140
ZR;13;19;143
ZR;13;20;147
ZR;14;0;82
ZR;14;1;85
ZR;14;2;88
ZR;14;3;91
ZR;14;4;94
ZR;14;5;97
ZR;14;6;100
ZR;14;7;103
ZR;14;8;106
ZR;14;9;109
ZR;14;10;112
ZR;14;11;115
ZR;14;12;118
ZR;14;13;121
ZR;14;14;124
ZR;14;15;127
ZR;14;16;130
ZR;14;17;133
ZR;14;18;136
ZR;14;19;139
ZR;14;20;143
ZR;15;0;81
ZR;15;1;84
ZR;15;2;87
ZR;15;3;90
ZR;15;4;92
ZR;15;5;95
ZR;15;6;98
ZR;15;7;101
ZR;15;8;103
ZR;15;9;106
ZR;15;10;109
ZR;15;11;112
ZR;15;12;114
ZR;15;13;117
ZR;15;14;120
ZR;15;15;123
ZR;15;16;126
ZR;15;17;129
ZR;15;18;132
ZR;15;19;135
ZR;15;20;138
ZR;16;0;80
ZR;16;1;83
ZR;16;2;85
ZR;16;3;88
ZR;16;4;90
ZR;16;5;92
ZR;16;6;95
ZR;16;7;98
ZR;16;8;100
ZR;16;9;103
ZR;16;10;105
ZR;16;11;108
ZR;16;12;110
ZR;16;13;112
ZR;16;14;115
ZR;16;15;118
ZR;16;16;120
ZR;16;17;123
ZR;16;18;126
ZR;16;19;129
ZR;16;20;131
ZR;17;0;79
ZR;17;1;81
ZR;17;2;84
ZR;17;3;86
ZR;17;4;89
ZR;17;5;91
ZR;17;6;94
ZR;17;7;96
ZR;17;8;99
ZR;17;9;101
ZR;17;10;104
ZR;17;11;106
ZR;17;12;109
ZR;17;13;111
ZR;17;14;114
ZR;17;15;116
ZR;17;16;119
ZR;17;17;121
ZR;17;18;124
ZR;17;19;126
ZR;17;20;129
ZR;18;0;79
ZR;18;1;81
ZR;18;2;84
ZR;18;3;86
ZR;18;4;88
ZR;18;5;91
ZR;18;6;93
ZR;18;7;95
ZR;18;8;98
ZR;18;9;100
ZR;18;10;102
ZR;18;11;105
ZR;18;12;107
ZR;18;13;110
ZR;18;14;112
ZR;18;15;114
ZR;18;16;117
ZR;18;17;119
ZR;18;18;122
ZR;18;19;124
ZR;18;20;126
ZR;19;0;78
ZR;19;1;80
ZR;19;2;82
ZR;19;3;85
ZR;19;4;87
ZR;19;5;90
ZR;19;6;92
ZR;19;7;94
ZR;19;8;96
ZR;19;9;99
ZR;19;10;101
ZR;19;11;104
ZR;19;12;106
ZR;19;13;108
ZR;19;14;111
ZR;19;15;113
ZR;19;16;115
ZR;19;17;118
ZR;19;18;120
ZR;19;19;123
ZR;19;20;125
ZR;20;0;78
ZR;20;1;80
ZR;20;2;82
ZR;20;3;85
ZR;20;4;87
